date,season,rank,school
2018-11-06,2018-19,2,SMU
2018-11-06,2018-19,3,Texas A&M
2018-11-06,2018-19,4,Baylor
2018-11-06,2018-19,5,South Carolina
2018-11-06,2018-19,6,TCU
2018-11-06,2018-19,7,Georgia
2018-11-06,2018-19,8,Oklahoma State
2018-11-06,2018-19,9,Delaware State
2018-11-06,2018-19,10,Fresno State
2018-11-13,2018-19,1,Auburn
2018-11-13,2018-19,2,SMU
2018-11-13,2018-19,3,Texas A&M
2018-11-13,2018-19,4,South Carolina
2018-11-13,2018-19,5,Baylor
2018-11-13,2018-19,6,TCU
2018-11-13,2018-19,7,Oklahoma State
2018-11-13,2018-19,8,Delaware State
2018-11-13,2018-19,9,Georgia
2018-11-13,2018-19,10,Fresno State
2018-11-20,2018-19,1,Auburn
2018-11-20,2018-19,2,SMU
2018-11-20,2018-19,3,South Carolina
2018-11-20,2018-19,4,Texas A&M
2018-11-20,2018-19,5,Baylor
2018-11-20,2018-19,6,Georgia
2018-11-20,2018-19,7,TCU
2018-11-20,2018-19,8,Oklahoma State
2018-11-20,2018-19,9,Delaware State
2018-11-20,2018-19,10,Fresno State
2019-02-05,2018-19,1,Auburn
2019-02-05,2018-19,2,Texas A&M
2019-02-05,2018-19,3,SMU
2019-02-05,2018-19,4,South Carolina
2019-02-05,2018-19,5,Baylor
2019-02-05,2018-19,6,TCU
2019-02-05,2018-19,7,Oklahoma State
2019-02-05,2018-19,8,Georgia
2019-02-05,2018-19,9,Fresno State
2019-02-05,2018-19,10,UT Martin
2019-02-12,2018-19,1,Auburn
2019-02-12,2018-19,2,SMU
2019-02-12,2018-19,3,South Carolina
2019-02-12,2018-19,4,Texas A&M
2019-02-12,2018-19,5,Baylor
2019-02-12,2018-19,6,Georgia
2019-02-12,2018-19,7,TCU
2019-02-12,2018-19,8,Oklahoma State
2019-02-12,2018-19,9,Fresno State
2019-02-12,2018-19,10,UT Martin
2019-02-19,2018-19,1,Auburn
2019-02-19,2018-19,2,Texas A&M
2019-02-19,2018-19,3,South Carolina
2019-02-19,2018-19,4,SMU
2019-02-19,2018-19,5,Baylor
2019-02-19,2018-19,6,Oklahoma State
2019-02-19,2018-19,7,Georgia
2019-02-19,2018-19,8,TCU
2019-02-19,2018-19,9,Fresno State
2019-02-19,2018-19,10,UT Martin
2019-02-26,2018-19,1,Auburn
2019-02-26,2018-19,2,Texas A&M
2019-02-26,2018-19,3,SMU
2019-02-26,2018-19,4,South Carolina
2019-02-26,2018-19,5,Baylor
2019-02-26,2018-19,6,Oklahoma State
2019-02-26,2018-19,7,Georgia
2019-02-26,2018-19,8,TCU
2019-02-26,2018-19,9,Fresno State
2019-02-26,2018-19,10,UT Martin
2019-03-05,2018-19,1,Auburn
2019-03-05,2018-19,2,Texas A&M
2019-03-05,2018-19,3,SMU
2019-03-05,2018-19,4,Baylor
2019-03-05,2018-19,5,Oklahoma State
2019-03-05,2018-19,6,South Carolina
2019-03-05,2018-19,7,Georgia
2019-03-05,2018-19,8,TCU
2019-03-05,2018-19,9,Fresno State
2019-03-05,2018-19,10,UT Martin
2019-03-12,2018-19,1,Auburn
2019-03-12,2018-19,2,Texas A&M
2019-03-12,2018-19,3,Oklahoma State
2019-03-12,2018-19,4,Baylor
2019-03-12,2018-19,5,South Carolina
2019-03-12,2018-19,6,SMU
2019-03-12,2018-19,7,TCU
2019-03-12,2018-19,8,Georgia
2019-03-12,2018-19,9,Fresno State
2019-03-12,2018-19,10,UT Martin
2019-10-01,2019-20,1,Auburn
2019-10-01,2019-20,2,Texas A&M
2019-10-01,2019-20,3,Georgia
2019-10-01,2019-20,4,Oklahoma State
2019-10-01,2019-20,5,SMU
2019-10-01,2019-20,6,South Carolina
2019-10-01,2019-20,7,TCU
2019-10-01,2019-20,8,Baylor
2019-10-01,2019-20,9,Fresno State
2019-10-01,2019-20,10,UT Martin
2019-10-08,2019-20,1,Auburn
2019-10-08,2019-20,2,Georgia
2019-10-08,2019-20,3,Oklahoma State
2019-10-08,2019-20,4,Texas A&M
2019-10-08,2019-20,5,SMU
2019-10-08,2019-20,6,TCU
2019-10-08,2019-20,7,South Carolina
2019-10-08,2019-20,8,Baylor
2019-10-08,2019-20,9,Fresno State
2019-10-08,2019-20,10,Delaware State
2019-10-15,2019-20,1,Auburn
2019-10-15,2019-20,2,Georgia
2019-10-15,2019-20,3,Oklahoma State
2019-10-15,2019-20,4,Texas A&M
2019-10-15,2019-20,5,TCU
2019-10-15,2019-20,6,SMU
2019-10-15,2019-20,7,South Carolina
2019-10-15,2019-20,8,Baylor
2019-10-15,2019-20,9,Fresno State
2019-10-15,2019-20,10,UT Martin
2019-10-22,2019-20,1,Auburn
2019-10-22,2019-20,2,Georgia
2019-10-22,2019-20,3,Oklahoma State
2019-10-22,2019-20,4,Texas A&M
2019-10-22,2019-20,5,TCU
2019-10-22,2019-20,6,SMU
2019-10-22,2019-20,7,South Carolina
2019-10-22,2019-20,8,Baylor
2019-10-22,2019-20,9,Fresno State
2019-10-22,2019-20,10,UT Martin
2019-10-29,2019-20,1,Auburn
2019-10-29,2019-20,2,Texas A&M
2019-10-29,2019-20,3,Georgia
2019-10-29,2019-20,4,TCU
2019-10-29,2019-20,5,Oklahoma State
2019-10-29,2019-20,6,Fresno State
2019-10-29,2019-20,7,SMU
2019-10-29,2019-20,8,South Carolina
2019-10-29,2019-20,9,Baylor
2019-10-29,2019-20,10,UT Martin
2019-11-05,2019-20,1,Auburn
2019-11-05,2019-20,2,Georgia
2019-11-05,2019-20,3,Oklahoma State
2019-11-05,2019-20,4,Texas A&M
2019-11-05,2019-20,5,South Carolina
2019-11-05,2019-20,6,TCU
2019-11-05,2019-20,7,Fresno State
2019-11-05,2019-20,8,Baylor
2019-11-05,2019-20,9,SMU
2019-11-05,2019-20,10,UT Martin
2019-11-12,2019-20,1,Auburn
2019-11-12,2019-20,2,Georgia
