Date,Away,Home,Location,Away_Score,Home_Score
2017-02-04,Texas A&M,SMU,"Dallas, Texas",11,9
2017-02-04,Oklahoma State,Baylor,"Waco, TX (Conf.)",4,15
2017-02-04,Oklahoma State,Baylor,"Waco, Texas (Conf.)",4,15
2017-02-04,South Carolina,Delaware State,"Bishop, Ga.",14,6
2017-02-10,Oklahoma State,South Dakota State,"Brookings, S.D.",12,4
2017-02-10,Fresno State,SMU,"Dallas, Texas (Conf.)",4,15
2017-02-10,South Carolina,Texas A&M,College Station (Conf.),6,14
2017-02-11,Minnesota-Crookston,South Dakota State,"Brookings, S.D.",7,8
2017-02-11,Minnesota-Crookston,South Dakota State,"Brookings, SD",7,8
2017-02-11,New Mexico State,SMU,"Dallas, TX",4,16
2017-02-11,New Mexico State,SMU,"Dallas, Texas (Conf.)",4,16
2017-02-11,Fresno State,TCU,"Springtown, Texas",6,12
2017-02-11,Georgia,Auburn,"Auburn, Ala. (Conf.)",10,8
2017-02-12,South Carolina,TCU,"Springtown, Texas",9,8
2017-02-12,South Carolina,TCU,"Springtown, Texas",9,8
2017-02-17,Baylor,Fresno State,"Fresno, Calif.",10,10
2017-02-17,Baylor,SMU,"Fresno, Calif.",8,8
2017-02-17,TCU,Oklahoma State,"Stillwater, OK (Conf.)",4,16
2017-02-18,SMU,Fresno State,"Fresno, Calif. (Conf.)",9,10
2017-02-18,Baylor,Fresno State,"Fresno, Calif.",10,10
2017-02-18,UT Martin,Auburn,"Auburn, Ala.",2,17
2017-02-24,New Mexico State,TCU,"Las Cruces, NM",9,7
2017-02-24,TCU,South Dakota State,"Las Cruces, N.M.",9,6
2017-02-25,Texas A&M,Georgia,"Bishop, Ga. (Conf.)",4,12
2017-02-25,TCU,New Mexico State,"Las Cruces, N.M.",7,9
2017-02-25,South Dakota State,New Mexico State,"Las Cruces, N.M.",8,8
2017-02-25,New Mexico State,South Dakota State,"Las Cruces, NM",8,8
2017-03-03,Georgia,Fresno State,"Fresno, Calif.",11,8
2017-03-03,Minnesota-Crookston,UT Martin,"Martin, TN",0,16
2017-03-03,Auburn,Baylor,"Waco, Texas",9,9
2017-03-04,SMU,South Carolina,"Columbia, S.C.",5,14
2017-03-04,Oklahoma State,New Mexico State,"Las Cruces, NM",10,5
2017-03-04,SMU,South Carolina,"Blythewood, S.C.",5,14
2017-03-04,New Mexico State,Oklahoma,"Las Cruces, NM",5,10
2017-03-04,Auburn,Texas A&M,College Station (Conf.),12,7
2017-03-11,SMU,South Dakota State,"Brookings, S.D. (Conf.)",8,8
2017-03-11,SMU,South Dakota State,"Brookings, S.D.",8,8
2017-03-11,Fresno State,Oklahoma State,"Stillwater, OK",5,14
2017-03-11,TCU,Texas A&M,College Station,7,12
2017-03-24,Oklahoma State,TCU,(Conf.),11,8
2017-03-24,SMU,UT Martin,"Dover, Del.",11,3
2017-03-24,Texas A&M,Auburn,"Auburn, Ala.",9,11
2017-03-24,Fresno State,Delaware State,"Harrington, DE United Equestrian Conference Tournament",8,7
2017-03-24,TCU,Baylor,"Waco, Texas (Conf.)",9,10
2017-03-24,South Carolina,Georgia,"Auburn, Ala.",13,7
2017-03-24,UT Martin,Delaware State,United Equestrian Conference Tournament,5,7
2017-03-25,Fresno State,UT Martin,"Harrington, Del. (Conf.)",12,4
2017-03-25,SMU,Delaware State,"Dover, Del.",6,6
2017-03-25,Delaware State,SMU,"Harrington, DE United Equestrian Conference Tournament",6,6
2017-03-25,Georgia,Auburn,"Auburn, Ala.",10,9
2017-03-25,TCU,Oklahoma State,"Waco, Texas",8,11
2017-03-25,Oklahoma State,Baylor,"Waco, Texas (Conf.)",7,11
2017-03-25,South Carolina,Texas A&M,"Auburn, Ala.",12,8
2017-04-13,Fresno State,New Mexico State,"Waco, Texas",10,5
2017-04-13,TCU,SMU,"Waco, Texas",8,7
2017-04-13,New Mexico State,Fresno State,"Waco, TX",5,10
2017-04-13,South Dakota State,South Carolina,"Waco, Texas",1,15
2017-04-13,Texas A&M,Delaware State,"Waco, Texas",13,2
2017-04-14,Fresno State,Georgia,"Waco, Texas",3,12
2017-04-14,Georgia,Fresno State,"Waco, Texas",12,3
2017-04-14,Baylor,TCU,"Waco, Texas (Conf.)",7,9
2017-04-14,Auburn,South Carolina,"Waco, Texas",12,4
2017-04-15,Texas A&M,TCU,"Waco, Texas",16,0
2017-04-15,Georgia,Auburn,"Waco, Texas",9,7
2017-04-15,Texas A&M,Georgia,"Waco, Texas",11,5
2017-09-15,Delaware State,Sweet Briar College,"Harrington, DE",4,3
2017-09-22,West Texas A&M,Baylor,"Waco, TX",2,18
2017-09-22,Texas Tech,TCU,"Springtown, TX",4,14
2017-09-22,UT Martin,Auburn,"Martin, TN",7,13
2017-09-22,Fresno State,South Dakota State,"Fresno, CA",17,2
2017-09-22,West Texas A&M,Baylor,"Waco, Texas",2,18
2017-09-22,Auburn,UT Martin,"Martin, Tenn.",13,7
2017-09-22,South Dakota State,Texas A&M,"Fresno, Calif.",12,4
2017-09-22,Texas A&M,Fresno State,"Fresno, Calif.",14,5
2017-09-23,South Dakota State,Texas A&M,"Fresno, Calif. (Conf.)",2,17
2017-09-29,Georgia,Fresno State,"Fresno, CA",10,8
2017-09-29,TCU,SMU,"Dallas, Texas",8,11
2017-09-29,TCU,SMU,"Dallas, Texas",8,11
2017-09-29,Fresno State,Georgia,"Fresno, CA",8,10
2017-09-29,South Carolina,Texas A&M,College Station (Conf.),8,12
2017-09-29,Alabama,Auburn,"Auburn, Ala.",1,11
2017-10-06,TCU,UT Martin,"Dover, Del.",8,7
2017-10-06,TCU,Delaware State,"Harrington, DE",10,5
2017-10-06,Ole Miss,Auburn,"Auburn, Ala.",2,16
2017-10-06,Ole Miss,Auburn,"Auburn, AL",2,16
2017-10-07,Baylor,Oklahoma State,"Stillwater, OK (Conf.)",4,14
2017-10-07,UT Martin,Delaware State,"Harrington, DL",9,6
2017-10-13,South Carolina,South Dakota State,"Brookings, S.D.",4,15
2017-10-13,Texas A&M,Georgia,"Bishop, Ga. (Conf.)",4,12
2017-10-14,Delaware State,Texas A&M,"Harrington, DE",6,18
2017-10-14,Baylor,SMU,"Dallas, Texas",10,10
2017-10-20,Georgia,TCU,"Springtown, Texas",12,6
2017-10-21,Fresno State,South Dakota State,"Brookings, S.D. (Conf.)",12,7
2017-10-21,Oklahoma State,SMU,"Dallas, Texas",9,11
2017-10-21,Baylor,Auburn,"Auburn, Ala.",4,15
2017-10-26,TCU,Texas A&M,College Station,3,16
2017-10-27,Oklahoma State,South Carolina,"Blythewood, S.C.",7,13
2017-11-03,Baylor,TCU,"Springtown, Texas (Conf.)",10,10
2017-11-03,Auburn,Texas A&M,College Station (Conf.),9,9
2017-11-03,South Carolina,Georgia,"Bishop, Ga. (Conf.)",6,14
2017-11-09,UT Martin,SMU,"Martin, TN",7,8
2017-11-09,UT Martin,Fresno State,"Martin, TN",11,5
2017-11-09,Fresno State,UT Martin,"Martin, TN",5,11
2017-11-09,SMU,Delaware State,"Martin, Tenn. (Conf.)",8,7
2017-11-10,Minnesota-Crookston,South Dakota State,"Brookings, S.D.",2,18
2017-11-10,SMU,UT Martin,"Martin, Tenn. (Conf.)",8,7
2017-11-10,TCU,Oklahoma State,"Stillwater, OK (Conf.)",6,13
2017-11-10,Georgia,Auburn,"Auburn, Ala. (Conf.)",12,8
2017-11-17,Georgia,Delaware State,"Harrington, DE",13,7
2017-11-17,Auburn,South Carolina,"Blythewood, S.C. (Conf.)",13,6
2017-11-19,Texas A&M,Oklahoma State,"Stillwater, OK",8,10
2016-01-30,UT Martin,South Carolina,"Blythewood, S.C.",3,16
2016-01-30,Georgia,Texas A&M,College Station (Conf.),10,9
2016-01-30,Auburn,Baylor,"Auburn, Ala.",15,5
2016-01-30,Baylor,Auburn,"Auburn, Ala.",5,14
2016-02-05,Fresno State,TCU,"Springtown, Texas",6,14
2016-02-05,Fresno State,TCU,"Fort Worth, Texas",6,14
2016-02-05,Baylor,Texas A&M,College Station,8,10
2016-02-06,Minnesota-Crookston,South Dakota State,"Brookings, S.D.",0,15
2016-02-06,Kansas State,Oklahoma State,"Stillwater, OK (Conf.)",6,11
2016-02-06,Minnesota-Crookston,South Dakota State,DeHaan Center,0,15
2016-02-06,Fresno State,SMU,"Dallas, Texas",10,10
2016-02-06,Georgia,South Carolina,"Blythewood, S.C. (Conf.)",13,7
2016-02-12,SMU,Delaware State,"Martin, Tenn.",9,6
2016-02-12,SMU,Delaware State,"Martin, Tenn.",6,9
2016-02-13,TCU,Baylor,"Waco, Texas (Conf.)",13,6
2016-02-13,SMU,UT Martin,"Martin, Tenn.",9,5
2016-02-13,Auburn,Georgia,"Bishop, Ga. (Conf.)",12,8
2016-02-19,Oklahoma State,TCU,"Springtown, Texas (Conf.)",8,12
2016-02-19,New Mexico State,West Texas A&M,"Las Cruces, NM",17,2
2016-02-19,West Texas A&M,New Mexico State,"Las Cruces, NM",2,17
2016-02-19,Oklahoma State,TCU,"Springtown, TX (Conf.)",12,8
2016-02-20,Texas A&M,South Carolina,"Blythewood, S.C. (Conf.)",10,9
2016-02-20,Oklahoma State,Baylor,"Waco, TX (Conf.)",6,13
2016-02-26,Fresno State,Kansas State,"Manhattan, KS",8,7
2016-02-26,Fresno State,Georgia,"Athens, Ga.",4,16
2016-02-26,TCU,South Dakota State,DeHaan Center,7,11
2016-02-26,Kansas State,Georgia,"Bishop, Ga.",4,15
2016-02-26,Kansas State,Georgia,"Bishop, GA",4,15
2016-02-27,Fresno State,Kansas State,"Athens, Ga.",7,8
2016-02-27,Fresno State,Georgia,"Bishop, Ga.",4,16
2016-02-27,Oklahoma State,Texas A&M,College Station,8,12
2016-02-27,South Carolina,Auburn,"Auburn, Ala. (Conf.)",5,15
2016-03-04,South Carolina,Delaware State,"Harrington, Del.",6,10
2016-03-04,SMU,South Carolina,"Dover, Del.",7,8
2016-03-04,Baylor,Kansas State,"Waco, Texas",13,7
2016-03-04,Kansas State,Baylor,"Waco, Texas",7,13
2016-03-05,Kansas State,TCU,"Springtown, Texas (Conf.)",7,13
2016-03-05,SMU,Delaware State,"Dover, Del.",5,10
2016-03-05,New Mexico State,Georgia,"Las Cruces, N.M.",7,12
2016-03-05,Georgia,New Mexico State,"Las Cruces, N.M.",12,7
2016-03-05,Texas A&M,Auburn,"Auburn, Ala. (Conf.)",10,10
2016-03-11,Auburn,Oklahoma State,"Stillwater, OK",10,9
2016-03-11,Auburn,Oklahoma State,"Stillwater, OK",10,9
2016-03-12,Auburn,Kansas State,"Manhattan, KS",10,9
2016-03-18,Baylor,Fresno State,"Fresno, Calif.",13,5
2016-03-18,South Dakota State,Baylor,"Fresno, Calif.",5,10
2016-03-19,South Dakota State,Baylor,"Waco, TX",10,5
2016-03-19,SMU,Texas A&M,College Station,10,9
2016-03-19,South Dakota State,Fresno State,"Fresno, Calif. (Conf.)",4,11
2016-03-25,South Carolina,Auburn,"Bishop, Ga.",7,11
2016-03-25,Texas A&M,Georgia,"Bishop, Ga. (Conf.)",7,13
2016-03-25,Baylor,Kansas State,"Stillwater, Okla.",10,10
2016-03-25,New Mexico State,Delaware State,"Las Cruces, N.M.",9,7
2016-03-25,TCU,Oklahoma State,"Stillwater, Okla.",12,7
2016-03-25,SMU,UT Martin,"Las Cruces, N.M.",8,8
2016-03-26,South Carolina,Texas A&M,"Athens, Ga.",11,8
2016-03-26,TCU,Kansas State,"Stillwater, Okla.",8,11
2016-03-26,SMU,Delaware State,"Las Cruces, N.M.",7,9
2016-03-26,Auburn,Georgia,"Bishop, Ga.",11,7
2016-04-14,TCU,New Mexico State,"Waco, TX",6,10
2016-04-14,Delaware State,Kansas State,"Waco, TX",10,6
2016-04-14,SMU,South Carolina,"Waco, Texas",10,6
2016-04-14,Texas A&M,Fresno State,"Waco, Texas",14,2
2016-04-14,TCU,New Mexico State,"Waco, Texas",10,6
2016-04-14,South Carolina,SMU,"Waco, Texas",6,10
2016-04-15,TCU,Baylor,"Waco, Texas",8,8
2016-04-15,SMU,Georgia,"Waco, Texas",4,12
2016-04-15,Auburn,Kansas State,"Waco, TX",1,15
2016-04-15,TCU,Baylor,"Waco, TX",8,8
2016-04-15,Oklahoma State,Texas A&M,"Waco, TX",5,11
2016-04-16,Texas A&M,Auburn,"Waco, TX",6,10
2016-04-16,TCU,Georgia,"Waco, Texas",10,5
2016-04-16,TCU,Auburn,"Waco, TX",7,8
2016-09-16,Alabama,South Carolina,"Blythewood, S.C.",2,8
2016-09-23,SMU,TCU,"Springtown, Texas",9,8
2016-09-23,Texas A&M,UT Martin,"Martin, Tenn.",12,7
2016-09-23,Baylor,South Carolina,"Blythewood, S.C.",6,12
2016-09-23,Ole Miss,Auburn,"Auburn, Ala.",2,18
2016-09-29,Auburn,UT Martin,"Martin, Tenn.",14,6
2016-09-30,Fresno State,New Mexico State,"Waco, Texas / Willis Family Equestrian Center (Conf.)",7,6
2016-09-30,Fresno State,New Mexico State,"Waco, TX",6,7
2016-09-30,South Dakota State,Fresno State,"Waco, Texas",4,12
2016-09-30,South Dakota State,Baylor,"Waco, Texas",2,14
2016-09-30,New Mexico State,Baylor,"Waco, Texas",6,10
2016-09-30,Texas A&M,South Carolina,"Blythewood, S.C. (Conf.)",8,10
2016-10-01,Fresno State,Baylor,"Waco, Texas / Willis Family Equestrian Center",5,9
2016-10-01,South Dakota State,New Mexico State,"Waco, Texas",2,13
2016-10-01,South Dakota State,New Mexico State,"Waco, TX",13,2
2016-10-01,New Mexico State,Baylor,"Waco, TX",6,10
2016-10-01,Fresno State,Baylor,"Waco, Texas",5,9
2016-10-02,Alabama,Georgia,"Bishop, Ga.",1,9
2016-10-07,Fresno State,Auburn,"Felton, Del. / Dovington Training Center",11,5
2016-10-08,Auburn,Delaware State,"Felton, Del.",12,4
2016-10-09,Georgia,South Carolina,"Blythewood, S.C. (Conf.)",8,9
2016-10-15,Oklahoma State,SMU,"Dallas, Texas",8,10
2016-10-15,Texas A&M,Auburn,"Auburn, Ala. (Conf.)",9,9
2016-10-21,TCU,Fresno State,"Fresno, Calif.",10,10
2016-10-21,New Mexico State,South Carolina,"Blythewood, SC",8,11
2016-10-21,New Mexico State,South Carolina,"Blythewood, S.C.",8,11
2016-10-21,Alabama,Auburn,"Auburn, Ala.",2,10
2016-10-22,UT Martin,New Mexico State,"Bishop, GA",12,3
2016-10-22,Baylor,Oklahoma State,"Stillwater, OK (Conf.)",8,12
2016-10-22,UT Martin,Georgia,"Bishop, Ga.",2,17
2016-10-22,Texas A&M,South Dakota State,"Brookings, S.D.",12,7
2016-10-23,New Mexico State,Georgia,"Bishop, Ga.",2,17
2016-10-23,New Mexico State,Georgia,"Bishop, GA",2,17
2016-10-29,SMU,Baylor,"Waco, Texas",6,13
2016-11-04,South Carolina,Fresno State,"Fresno, Calif.",8,10
2016-11-04,Minnesota-Crookston,South Dakota State,"Brookings, S.D.",7,12
2016-11-04,Minnesota-Crookston,South Dakota State,"Brookings, SD",7,12
2016-11-05,Oklahoma State,TCU,"Springtown, Texas (Conf.)",11,8
2016-11-05,Oklahoma State,TCU,"Forth Worth, TX (Conf.)",11,8
2016-11-05,Georgia,Texas A&M,College Station (Conf.),7,13
2016-11-10,Delaware State,Texas A&M,College Station,2,18
2016-11-11,New Mexico State,West Texas A&M,"Las Cruces, NM",12,4
2016-11-11,West Texas A&M,New Mexico State,"Las Cruces, NM",4,12
2016-11-11,Delaware State,Baylor,"Waco, Texas",3,13
2016-11-11,Auburn,Georgia,"Bishop, Ga. (Conf.)",7,11
2016-11-12,TCU,Baylor,"Waco, Texas (Conf.)",7,9
2016-11-12,Delaware State,SMU,"Dallas, Texas (Conf.)",6,12
2016-11-18,Georgia,South Dakota State,"Brookings, S.D.",14,6
2016-11-18,South Carolina,Auburn,"Auburn, Ala. (Conf.)",5,13
2016-11-19,Georgia,Oklahoma State,"Stillwater, OK",10,10
2015-01-29,New Mexico State,Baylor,"Waco, TX",3,13
2015-01-29,Baylor,New Mexico State,"Waco, TX",13,3
2015-01-30,Georgia,UT Martin,"Martin, TN",13,6
2015-01-30,UT Martin,Georgia,"Martin, TN",6,13
2015-01-30,Kansas State,Georgia,"Martin, TN",14,4
2015-01-30,Georgia,Kansas State,"Martin, TN",4,14
2015-01-30,Delaware State,Texas A&M,"College Station, TX",2,13
2015-01-30,Texas A&M,Delaware State,"College Station, TX",13,2
2015-01-30,SMU,Auburn,"Auburn, AL",6,14
2015-01-30,Auburn,SMU,"Auburn, AL",14,6
2015-01-30,Delaware State,New Mexico State,"College Station, TX",11,5
2015-01-30,New Mexico State,Delaware State,"College Station, TX",5,11
2015-01-31,SMU,South Carolina,"Blythewood, SC",2,13
2015-01-31,South Carolina,SMU,"Blythewood, SC",13,2
2015-01-31,Kansas State,UT Martin,"Martin, TN",9,11
2015-01-31,UT Martin,Kansas State,"Martin, TN",11,9
2015-01-31,New Mexico State,Texas A&M,"College Station, TX",3,12
2015-01-31,Texas A&M,New Mexico State,"College Station, TX",12,3
2015-02-06,SMU,TCU,"Fort Worth, TX",7,11
2015-02-06,TCU,SMU,"Fort Worth, TX",11,7
2015-02-07,Kansas State,Oklahoma State,"Stillwater, OK",7,13
2015-02-07,Oklahoma State,Kansas State,"Stillwater, OK",13,7
2015-02-07,South Carolina,Delaware State,"Bishop, GA",2,17
2015-02-07,Delaware State,South Carolina,"Bishop, GA",17,2
2015-02-07,South Carolina,Georgia,"Bishop, GA",11,9
2015-02-07,Georgia,South Carolina,"Bishop, GA",9,11
2015-02-07,Texas A&M,Baylor,"Waco, TX",8,11
2015-02-07,Baylor,Texas A&M,"Waco, TX",11,8
2015-02-08,Delaware State,Georgia,"Bishop, GA",3,16
2015-02-08,Georgia,Delaware State,"Bishop, GA",16,3
2015-02-14,Baylor,TCU,"Springtown, TX",11,9
2015-02-14,TCU,Baylor,"Springtown, TX",9,11
2015-02-14,Georgia,Auburn,"Auburn, AL",10,9
2015-02-14,Auburn,Georgia,"Auburn, AL",9,10
2015-02-20,TCU,Kansas State,"Manhattan, KS",5,14
2015-02-20,Kansas State,TCU,"Manhattan, KS",14,5
2015-02-21,Fresno State,South Dakota State,"Brookings, SD",10,6
2015-02-21,South Dakota State,Fresno State,"Brookings, SD",6,10
2015-02-21,TCU,Oklahoma State,"Stillwater, OK",10,10
2015-02-21,Oklahoma State,TCU,"Stillwater, OK",10,10
2015-02-21,South Carolina,Texas A&M,"College Station, TX",8,11
2015-02-21,Texas A&M,South Carolina,"College Station, TX",11,8
2015-02-27,Baylor,Oklahoma State,"Stillwater, OK",8,11
2015-02-27,Oklahoma State,Baylor,"Stillwater, OK",11,8
2015-02-28,Baylor,Kansas State,"Manhattan, KS",9,10
2015-02-28,Kansas State,Baylor,"Manhattan, KS",10,9
2015-02-28,Auburn,South Carolina,"Blythewood, SC",7,11
2015-02-28,South Carolina,Auburn,"Blythewood, SC",11,7
2015-02-28,Texas A&M,Georgia,"Bishop, GA",6,13
2015-02-28,Georgia,Texas A&M,"Bishop, GA",13,6
2015-03-06,Georgia,Fresno State,"Fresno, CA",14,6
2015-03-06,Fresno State,Georgia,"Fresno, CA",6,14
2015-03-06,Baylor,South Carolina,"Blythewood, SC",6,12
2015-03-06,South Carolina,Baylor,"Blythewood, SC",12,6
2015-03-07,TCU,Fresno State,"Fresno, CA",9,9
2015-03-07,Fresno State,TCU,"Fresno, CA",9,9
2015-03-07,TCU,Georgia,"Fresno, CA",5,10
2015-03-07,Georgia,TCU,"Fresno, CA",10,5
2015-03-07,Baylor,Auburn,"Auburn, AL",7,13
2015-03-07,Auburn,Baylor,"Auburn, AL",13,7
2015-03-08,Oklahoma State,SMU,"Dallas, TX",9,10
2015-03-08,SMU,Oklahoma State,"Dallas, TX",10,9
2015-03-13,South Dakota State,UT Martin,"Martin, TN",6,10
2015-03-13,UT Martin,South Dakota State,"Martin, TN",10,6
2015-03-13,Auburn,New Mexico State,"Las Cruces, NM",11,8
2015-03-13,New Mexico State,Auburn,"Las Cruces, NM",8,11
2015-03-14,Sacred Heart,UT Martin,"Martin, TN",3,13
2015-03-14,UT Martin,Sacred Heart,"Martin, TN",13,3
2015-03-14,Sacred Heart,South Dakota State,"Martin, TN",9,6
2015-03-14,South Dakota State,Sacred Heart,"Martin, TN",6,9
2015-03-14,Auburn,Texas A&M,"College Station, TX",7,12
2015-03-14,Texas A&M,Auburn,"College Station, TX",12,7
2015-03-20,SMU,Delaware State,"Dover, DE",11,8
2015-03-20,Delaware State,SMU,"Dover, DE",8,11
2015-03-27,South Dakota State,Fresno State,"Fresno, Calif.",3,12
2015-03-27,Fresno State,South Dakota State,"Fresno, Calif.",12,3
2015-03-27,SMU,New Mexico State,"Fresno, Calif.",6,10
2015-03-27,New Mexico State,SMU,"Fresno, Calif.",10,6
2015-03-27,TCU,Baylor,"Fort Worth, TX",14,6
2015-03-27,Baylor,TCU,"Fort Worth, TX",6,14
2015-03-27,Georgia,Auburn,"College Station, TX",6,13
2015-03-27,Auburn,Georgia,"College Station, TX",13,6
2015-03-27,South Carolina,Texas A&M,"College Station, TX",11,7
2015-03-27,Texas A&M,South Carolina,"College Station, TX",7,11
2015-03-27,Kansas State,Oklahoma State,"Fort Worth, Texas",8,10
2015-03-27,Oklahoma State,Kansas State,"Fort Worth, Texas",10,8
2015-03-28,New Mexico State,South Dakota State,"Fresno, CA",6,9
2015-03-28,South Dakota State,New Mexico State,"Fresno, CA",9,6
2015-03-28,SMU,Fresno State,"Fresno, CA",4,12
2015-03-28,Fresno State,SMU,"Fresno, CA",12,4
2015-03-28,South Carolina,Auburn,"College Station, TX",13,6
2015-03-28,Auburn,South Carolina,"College Station, TX",6,13
2015-03-28,Kansas State,Baylor,"Fort Worth, TX",8,11
2015-03-28,Baylor,Kansas State,"Fort Worth, TX",11,8
2015-03-28,TCU,Oklahoma State,"Fort Worth, TX",9,11
2015-03-28,Oklahoma State,TCU,"Fort Worth, TX",11,9
2015-03-28,Georgia,Texas A&M,"College Station, TX",5,12
2015-03-28,Texas A&M,Georgia,"College Station, TX",12,5
2015-04-16,SMU,Kansas State,"Waco, Texas",10,5
2015-04-16,Kansas State,SMU,"Waco, Texas",5,10
2015-04-16,Auburn,UT Martin,"Waco, Texas",3,13
2015-04-16,UT Martin,Auburn,"Waco, Texas",13,3
2015-04-16,Fresno State,New Mexico State,"Waco, Texas",7,8
2015-04-16,New Mexico State,Fresno State,"Waco, Texas",8,7
2015-04-16,TCU,Oklahoma State,"Waco, Texas",13,3
2015-04-16,Oklahoma State,TCU,"Waco, Texas",3,13
2015-04-17,Georgia,Kansas State,"Waco, Texas",5,10
2015-04-17,Kansas State,Georgia,"Waco, Texas",10,5
2015-04-17,Auburn,Texas A&M,"Waco, Texas",6,9
2015-04-17,Texas A&M,Auburn,"Waco, Texas",9,6
2015-04-17,Baylor,Oklahoma State,"Waco, Texas",8,8
2015-04-17,Oklahoma State,Baylor,"Waco, Texas",8,8
2015-04-17,South Carolina,Fresno State,"Waco, Texas",4,12
2015-04-17,Fresno State,South Carolina,"Waco, Texas",12,4
2015-04-18,Georgia,Auburn,"Waco, Texas",6,10
2015-04-18,Auburn,Georgia,"Waco, Texas",10,6
2015-04-18,South Carolina,Baylor,"Waco, TX",6,10
2015-04-18,Baylor,South Carolina,"Waco, TX",10,6
2015-04-18,Georgia,South Carolina,"Waco, Texas",10,6
2015-04-18,South Carolina,Georgia,"Waco, Texas",6,10
2015-09-18,Auburn,UT Martin,"Martin, TN",13,7
2015-09-18,TCU,TCU,"Springtown, Texas",4,10
2015-09-19,SMU,Baylor,"Waco, Texas",11,11
2015-09-24,TCU,SMU,"Bartonville, Texas",10,9
2015-09-24,TCU,SMU,"Dallas, Texas",10,9
2015-09-25,Texas A&M,Georgia,"Bishop, Ga. (Conf.)",9,10
2015-09-25,South Carolina,South Dakota State,DeHaan Center,9,7
2015-09-26,SMU,Oklahoma State,"Stillwater, OK",6,13
2015-10-02,TCU,South Carolina,"Blythewood, S.C.",11,8
2015-10-02,Fresno State,Delaware State,"Dover, Del. (Conf.)",9,7
2015-10-02,TCU,South Carolina,"Blythewood, S.C.",8,11
2015-10-03,Georgia,Fresno State,"Dover, Del.",12,8
2015-10-03,SMU,New Mexico State,"Las Cruces, N.M.",9,9
2015-10-03,Kansas State,South Dakota State,DeHaan Center,11,8
2015-10-03,New Mexico State,SMU,"Las Cruces, NM",9,9
2015-10-08,New Mexico State,TCU,"Springtown, Texas",5,12
2015-10-09,Fresno State,UT Martin,"Waco, Texas (Conf.)",12,3
2015-10-09,Oklahoma State,Kansas State,"Manhattan, KS",13,7
2015-10-09,UT Martin,Baylor,"Waco, TX",2,14
2015-10-09,Fresno State,New Mexico State,"Waco, TX",7,9
2015-10-09,Auburn,South Carolina,"Blythewood, S.C. (Conf.)",14,6
2015-10-10,Fresno State,New Mexico State,"Waco, Texas (Conf.)",7,9
2015-10-10,Fresno State,Baylor,"Waco, Texas",6,9
2015-10-10,New Mexico State,Baylor,"Waco, TX",3,11
2015-10-10,Baylor,Fresno State,"Waco, TX",9,6
2015-10-10,UT Martin,New Mexico State,"Waco, TX",4,11
2015-10-16,Minnesota-Crookston,South Dakota State,"Brookings, S.D.",3,12
2015-10-16,Minnesota-Crookston,South Dakota State,DeHaan Center,3,12
2015-10-16,Oklahoma State,Georgia,"Bishop, Ga.",6,14
2015-10-17,Oklahoma State,Auburn,"Auburn, AL",5,14
2015-10-17,Auburn,Oklahoma State,"Auburn, Ala.",14,5
2015-10-23,Baylor,TCU,"Springtown, Texas (Conf.)",9,9
2015-10-23,New Mexico State,Fresno State,"Fresno, CA",8,12
2015-10-23,New Mexico State,Fresno State,"Fresno, Calif. (Conf.)",8,12
2015-10-23,Texas A&M,New Mexico State,"Fresno, Calif.",14,1
2015-10-24,Texas A&M,New Mexico State,"Las Cruces, NM",1,14
2015-10-24,Texas A&M,Fresno State,"Fresno, Calif.",9,9
2015-10-29,South Carolina,Texas A&M,College Station (Conf.),5,14
2015-10-30,South Dakota State,SMU,"Dallas, Texas",5,13
2015-10-30,Baylor,Kansas State,"Manhattan, KS",9,9
2015-10-30,South Dakota State,SMU,"Dallas, Texas",5,13
2015-10-31,South Dakota State,TCU,"Springtown, Texas",5,12
2015-10-31,Baylor,Oklahoma State,"Stillwater, OK (Conf.)",7,13
2015-10-31,Baylor,Oklahoma State,"Stillwater, OK",7,13
2015-11-06,South Dakota State,New Mexico State,"Felton, DE",9,7
2015-11-06,South Dakota State,New Mexico State,"Dover, Del.",7,9
2015-11-06,Auburn,Texas A&M,College Station (Conf.),8,11
2015-11-06,Baylor,South Carolina,"Waco, TX",16,3
2015-11-07,New Mexico State,Delaware State,"Felton, DE",5,11
2015-11-07,South Dakota State,Delaware State,"Dover, Del.",7,8
2015-11-07,South Carolina,SMU,"Dallas, Texas",9,11
2015-11-08,Auburn,SMU,"Dallas, Texas",12,7
2015-11-13,TCU,Kansas State,"Manhattan, Kan. (Conf.)",10,9
2015-11-13,UT Martin,South Dakota State,DeHaan Center,9,11
2015-11-13,Auburn,Georgia,"Bishop, Ga.",11,8
2015-11-14,TCU,Oklahoma State,"Stillwater, Okla. (Conf.)",12,8
2015-11-14,TCU,Oklahoma State,"Stillwater, OK (Conf.)",8,12
2015-11-20,Baylor,SMU,"Dallas, Texas",10,7
2015-11-20,Texas A&M,Kansas State,"Felton, DE",0,14
2015-11-20,South Carolina,Georgia,"Bishop, Ga. (Conf.)",5,13
2015-11-21,Texas A&M,Delaware State,"Felton, Del.",10,4
2014-09-19,Auburn,UT Martin,"Martin, TN",13,7
2014-09-19,UT Martin,Auburn,"Martin, TN",7,13
2014-09-19,South Carolina,Kansas State,"Manhattan, KS",8,10
2014-09-19,Kansas State,South Carolina,"Manhattan, KS",10,8
