Date,Away,Home,Location,Away_Score,Home_Score
2022-03-18,Bridgewater College,Sweet Briar College,"Sweet Briar, Va.",3,5
2022-03-18,Lynchburg,University of the SouthSewanee,"Sweet Briar, Va.",3,5
2022-03-19,Bridgewater College,Lynchburg,"Sweet Briar, Va.",3,5
2022-03-19,University of the SouthSewanee,Sweet Briar College,"Sweet Briar, Va.",0,8
2022-03-24,Minnesota-Crookston,Delaware State,"Harrington, Del.",0,20
2022-03-24,South Dakota State,UC Davis,"Harrington, Del.",5,15
2022-03-25,UC Davis,SMU,"Harrington, Del.",9,10
2022-03-25,UT Martin,Delaware State,"Harrington, Del.",10,10
2022-03-25,Fresno State,TCU,"Forth Worth, Texas",7,13
2022-03-25,Texas A&M,South Carolina,"Auburn, Ala.",12,7
2022-03-25,Georgia,Auburn,"Auburn, Ala.",7,12
2022-03-25,Oklahoma State,Baylor,"Fort Worth, TX",10,9
2022-03-26,SUNY New Paltz,Sacred Heart,"Hanover, N.H.",7,1
2022-03-26,Georgia,South Carolina,"Auburn, Ala.",12,7
2022-03-26,UT Martin,SMU,"Harrington, Del.",9,11
2022-03-26,Fresno State,Baylor,"Forth Worth, Texas",6,12
2022-03-26,Sacred Heart,Dartmouth College,"Hanover, N.H.",6,2
2022-03-26,SUNY New Paltz,Dartmouth College,"Hanover, N.H.",4,4
2022-03-26,Texas A&M,Auburn,"Auburn, AL",8,11
2022-03-26,Oklahoma State,TCU,"Forth Worth, Texas",11,9
2022-04-14,Fresno State,Oklahoma State,"Ocala, Fla.",8,12
2022-04-14,TCU,Georgia,"Ocala, Fla.",12,8
2022-04-14,Auburn,SMU,"Ocala, Fla.",8,12
2022-04-14,Baylor,Texas A&M,"Ocala, Fla.",6,13
2022-04-15,Sweet Briar College,SUNY New Paltz,"Ocala, Fla.",4,4
2022-04-15,SMU,Texas A&M,"Ocala, Fla.",5,14
2022-04-15,TCU,Oklahoma State,"Ocala, Fla.",6,13
2022-09-23,South Carolina,Delaware State,"Felton, Del.",14,6
2022-09-23,South Carolina,Minnesota-Crookston,"Felton, Del.",13,3
2022-09-23,TCU,Texas A&M,"College Station, Texas",10,10
2022-09-24,Minnesota-Crookston,Delaware State,"Felton, Del.",3,12
2022-09-24,Lynchburg,Dartmouth College,"Hanover, N.H.",7,1
2022-09-29,Baylor,South Carolina,"Columbia, S.C.",8,11
2022-09-30,Baylor,Georgia,"Athens, Ga.",8,10
2022-09-30,Texas A&M,Fresno State,"Fresno, Calif.",11,8
2022-10-01,Dartmouth College,UT Martin,"Martin, Tenn. (Conf.)",1,9
2022-10-01,SMU,Oklahoma State,"Stillwater, Okla.",10,9
2022-10-01,Texas A&M,UC Davis,"Davis, Calif.",14,5
2022-10-07,Sweet Briar College,Lynchburg,"Rustburg, Va. (Conf.)",4,6
2022-10-07,Auburn,Georgia,"Athens, Ga. (Conf.)",11,8
2022-10-08,South Carolina,Texas A&M,Bryan-College Station (Conf.),6,14
2022-10-13,TCU,UT Martin,"Felton, Del.",9,6
2022-10-13,TCU,Delaware State,"Dover, Del.",12,8
2022-10-14,UT Martin,Delaware State,"Felton, Del. (Conf.)",13,7
2022-10-14,Auburn,UC Davis,"Davis, Calif.",8,10
2022-10-15,Minnesota-Crookston,South Dakota State,"Brookings, S.D. (Conf.)",1,14
2022-10-15,Sweet Briar College,Dartmouth College,"Hanover, N.H. (Conf.)",7,1
2022-10-15,Baylor,Oklahoma State,"Stillwater, Okla. (Conf.)",3,17
2022-10-15,Auburn,Fresno State,"Fresno, Calif.",16,2
2022-10-21,TCU,Baylor,"Waco, Texas (Conf.)",7,12
2022-10-22,Sweet Briar College,Sacred Heart,"Fairfield, Conn. (Conf.)",9,1
2022-10-22,Texas A&M,Georgia,"Bishop, Ga. (Conf.)",8,10
2022-10-22,Bridgewater College,University of the SouthSewanee,"Sewanee, Tenn. (Conf.)",3,5
2022-10-22,UT Martin,Auburn,"Auburn, Ala.",4,16
2022-10-28,South Carolina,UT Martin,"Martin, Tenn.",10,9
2022-10-28,Oklahoma State,TCU,"Fort Worth, Texas (Conf.)",6,12
2022-10-28,South Dakota State,UC Davis,"Davis, Calif.",5,13
2022-10-28,South Dakota State,Georgia,"Davis, Calif.",3,13
2022-10-29,Lynchburg,UT Martin,"Martin, Tenn. (Conf.)",3,7
2022-10-29,Bridgewater College,Dartmouth College,"Hanover, N.H.",4,4
2022-10-29,Georgia,UC Davis,"Davis, Calif.",11,9
2022-11-03,Fresno State,TCU,"Burleson, Texas (Conf.)",1,16
2022-11-04,Fresno State,Oklahoma State,"Stillwater, Okla. (Conf.)",6,13
2022-11-04,Auburn,South Carolina,"Columbia, S.C. (Conf.)",13,6
2022-11-05,Dartmouth College,Sacred Heart,"Fairfield, Conn.",2,8
2022-11-11,UC Davis,TCU,"Fort Worth, Texas",5,15
2022-11-11,Texas A&M,Auburn,"Auburn, Ala. (Conf.)",6,10
2022-11-11,Delaware State,UC Davis,"Dallas, Texas",7,7
2022-11-12,Sweet Briar College,University of the SouthSewanee,"Sewanee, Tenn. (Conf.)",7,1
2022-11-12,UC Davis,SMU,"Dallas, Texas",6,14
2022-11-12,Georgia,South Carolina,"Blythewood, S.C. (Conf.)",9,10
2022-11-12,Sacred Heart,Lynchburg,"Lynchburg, Va. (Conf.)",1,7
2022-11-13,Sacred Heart,Bridgewater College,"Rustburg, Va. (Conf.)",4,4
2022-11-17,Bridgewater College,Auburn,"Auburn, Ala.",2,6
2022-11-17,Fresno State,Texas A&M,"College Station, Texas",6,14
2022-11-17,Oklahoma State,Bridgewater College,"Auburn, Ala.",7,1
2022-11-18,Georgia,Delaware State,"Dover, Del.",8,11
2022-11-18,South Dakota State,UT Martin,"Martin, Tenn. (Conf.)",6,13
2022-11-18,Fresno State,Baylor,"Waco, TX (Conf.)",7,11
2022-11-18,Lynchburg,Georgia,"Felton, Del.",1,9
2022-11-18,Oklahoma State,Auburn,"Auburn, Ala.",4,15
2022-11-19,Lynchburg,Delaware State,"Felton, Del.",5,5
2021-01-28,South Dakota State,TCU,"Fort Worth, Texas",1,18
2021-01-28,UT Martin,TCU,"Forth Worth, Texas",4,15
2021-01-29,Lynchburg,South Carolina,"Blythewood, S.C.",1,9
2021-01-29,South Dakota State,SMU,"Dallas, Texas",4,15
2021-01-29,South Dakota State,UT Martin,"Dallas, Texas",8,8
