"Name","Position","Team","GP","GS","MIN","PTS","OR","DR","REB","AST","STL","BLK","TO","PF","AST/TO","PER","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","2PM","2PA","2P%","SC-EFF","SH-EFF"
"Anthony Davis","PF","lal",40,40,35.1,23.2,2.7,7.2,9.9,3.1,1.2,2.3,2.1,2.4,1.5,23.97,9.3,17.4,53.2,0.3,1.8,18.6,4.4,6.1,71.3,8.9,15.6,57.1,1.334,0.54
"Russell Westbrook","PG","lal",78,78,34.3,18.5,1.4,6,7.4,7.1,1,0.3,3.8,3,1.9,15.01,7,15.8,44.4,1,3.4,29.8,3.4,5.1,66.7,6,12.4,48.5,1.169,0.48
"Malik Monk","SG","lal",76,37,28.1,13.8,0.5,2.9,3.4,2.9,0.8,0.4,1.6,1.8,1.8,14.49,5.1,10.9,47.3,2.3,5.8,39.1,1.2,1.5,79.5,2.9,5.1,56.8,1.269,0.58
"Carmelo Anthony","PF","lal",69,3,26,13.3,0.9,3.3,4.2,1,0.7,0.8,0.9,2.4,1.2,14.8,4.6,10.5,44.1,2.2,5.8,37.5,1.9,2.3,83,2.5,4.7,52.1,1.271,0.54
"Talen Horton-Tucker","SG","lal",60,19,25.2,10,0.6,2.6,3.2,2.7,1,0.5,1.4,2.5,1.9,11.07,3.7,9,41.6,0.8,3,26.9,1.7,2.1,80,2.9,5.9,49.2,1.11,0.46
"Isaiah Thomas","G","lal",4,1,25.3,9.3,0.3,1.8,2,1.5,0,0.5,1.3,3,1.2,3.24,3,9.8,30.8,1.3,5.5,22.7,2,2.8,72.7,1.8,4.3,41.2,0.949,0.37
"Austin Reaves","SG","lal",61,19,23.2,7.3,0.7,2.4,3.2,1.8,0.5,0.3,0.7,1.4,2.8,11.57,2.4,5.2,45.9,0.9,2.7,31.7,1.6,1.9,83.9,1.5,2.5,61.6,1.396,0.54
"Sekou Doumbouya","SF","lal",2,0,8,7,1,2,3,0,1.5,1,1,0.5,0,40.76,2.5,4,62.5,0.5,1,50,1.5,2,75,2,3,66.7,1.75,0.69
"Mason Jones","G","lal",4,0,12.8,6.8,0.3,2.3,2.5,1,0.5,0,0.3,2,4,17.78,1.8,3.8,46.7,0.3,1,25,3,3.8,80,1.5,2.8,54.5,1.8,0.5
"Wenyen Gabriel","F","lal",19,5,16.4,6.7,1.8,2.5,4.3,0.6,0.2,0.5,0.7,3,0.9,13.19,2.6,5.1,50.5,0.3,1.2,26.1,1.2,2,60.5,2.3,3.9,58.1,1.309,0.54
"Wayne Ellington","SG","lal",43,9,18.8,6.7,0.2,1.6,1.8,0.7,0.5,0.1,0.4,1,1.6,9.94,2.3,5.5,41.3,1.9,4.9,38.9,0.2,0.3,81.8,0.4,0.6,61.5,1.211,0.59
"Stanley Johnson","PF","lal",48,27,22.8,6.7,0.7,2.5,3.2,1.7,0.9,0.3,0.7,2.3,2.3,10.54,2.4,5.2,46.6,0.7,2.2,31.4,1.1,1.5,71.6,1.8,3,57.5,1.275,0.53
"Avery Bradley","PG","lal",62,45,22.7,6.4,0.5,1.7,2.2,0.8,0.9,0.1,0.6,1.9,1.2,7.87,2.4,5.6,42.3,1.3,3.4,39,0.3,0.3,88.9,1.1,2.3,47.1,1.126,0.54
"Dwight Howard","C","lal",60,27,16.2,6.2,2,4,5.9,0.6,0.6,0.6,0.8,1.9,0.7,18.25,2.2,3.7,61.2,0.1,0.3,53.3,1.6,2.4,65.8,2.1,3.4,61.8,1.699,0.63
"Mac McClung","SG","lal",1,0,22,6,0,3,3,1,1,1,2,5,0.5,4.69,2,5,40,1,3,33.3,1,1,100,1,2,50,1.2,0.5
"D.J. Augustin","G","lal",21,0,17.8,5.3,0.2,1.1,1.3,1.6,0.3,0,0.5,1,3,9.75,1.9,4.1,45.3,1.4,3.2,42.6,0.2,0.2,100,0.5,0.9,55.6,1.302,0.62
"DeAndre Jordan","C","lal",32,19,12.8,4.1,1.6,3.8,5.4,0.4,0.3,0.8,0.7,1.6,0.6,17.53,1.9,2.8,67.4,0,0,0,0.4,0.8,46.2,1.9,2.8,67.4,1.483,0.67
"Trevor Ariza","SF","lal",24,11,19.3,4,0.4,3,3.4,1.1,0.5,0.3,0.5,0.8,2.5,6.99,1.4,4.1,33.3,0.8,3.1,27,0.4,0.8,55.6,0.5,1,52,0.97,0.43
"Kent Bazemore","SF","lal",39,14,14,3.4,0.3,1.4,1.8,0.9,0.6,0.2,0.5,1.8,1.6,6.04,1.2,3.6,32.4,0.7,2.1,36.3,0.3,0.4,76.5,0.4,1.5,27.1,0.95,0.43
"Rajon Rondo","PG","lal",18,0,16.1,3.1,0.6,2.2,2.7,3.7,0.7,0.3,1.9,1.4,2,6.55,1.3,3.9,32.4,0.4,1.7,26.7,0.1,0.1,50,0.8,2.3,36.6,0.775,0.38
"Jemerrio Jones","F","lal",2,0,7.5,2,1,0.5,1.5,0,0.5,0,0,1,0,14.85,1,1.5,66.7,0,0,0,0,0,0,1,1.5,66.7,1.333,0.67
"Darren Collison","PG","lal",3,0,12.3,1.3,0,1.3,1.3,0.7,0.3,0,0.3,1.7,2,-0.2,0.7,2.3,28.6,0,1,0,0,0,0,0.7,1.3,50,0.571,0.29
"Chaundee Brown Jr.","G","lal",2,0,10.5,1,0,1,1,0,0,0,0.5,0,0,-8.65,0.5,3.5,14.3,0,1.5,0,0,0,0,0.5,2,25,0.286,0.14
"Jay Huff","C","lal",4,0,5,0,0.3,0.8,1,0.3,0.3,0.3,0.3,0.3,1,0.6,0,0.8,0,0,0.5,0,0,0,0,0,0.3,0,0,0
