"date","event","arena","city","result","result_type","ref1","ref1_score","ref2","ref2_score","ref3","ref3_score"
"January 11, 2010","UFN 20: Maynard vs. Diaz","Patriot Center","Fairfax, Virginia, USA","Leben def. Silva","Unanimous","BLATNICK","30 - 27","CROSBY","30 - 27","D'AMATO","30 - 27"
"January 11, 2010","UFN 20: Maynard vs. Diaz","Patriot Center","Fairfax, Virginia, USA","Story def. Lennox","Split","BLATNICK","30 - 27","COLÓN","28 - 29","URSO","30 - 27"
"January 11, 2010","UFN 20: Maynard vs. Diaz","Patriot Center","Fairfax, Virginia, USA","Tavares drew with Lentz","Majority","COLÓN","28 - 28","D'AMATO","28 - 28","URSO","27 - 29"
"January 11, 2010","UFN 20: Maynard vs. Diaz","Patriot Center","Fairfax, Virginia, USA","dos Anjos def. Bradley","Unanimous","CROSBY","30 - 27","URSO","30 - 27","WALTERS","30 - 27"
"January 11, 2010","UFN 20: Maynard vs. Diaz","Patriot Center","Fairfax, Virginia, USA","Catone def. Forbes","Split","CROSBY","29 - 28","D'AMATO","29 - 28","WALTERS","28 - 29"
"January 10, 2010","WEC 46: Varner vs. Henderson","ARCO Arena","Sacramento, California, USA","Shalorus def. Jansen","Unanimous","ENGLISH","29 - 28","HAMILTON","30 - 27","ROSALES","30 - 27"
"January 10, 2010","WEC 46: Varner vs. Henderson","ARCO Arena","Sacramento, California, USA","Taurosevicius def. Semerzier","Unanimous","BERTRAND","29 - 28","HAMILTON","29 - 28","Unknown","28NA"
"January 10, 2010","WEC 46: Varner vs. Henderson","ARCO Arena","Sacramento, California, USA","Valencia def. Tamura","Split","BERTRAND","28 - 29","ENGLISH","29 - 28","ROSALES","29 - 28"
"January 10, 2010","WEC 46: Varner vs. Henderson","ARCO Arena","Sacramento, California, USA","Fabiano def. Godfrey","Unanimous","ENGLISH","30 - 27","ROSALES","30 - 27","Unknown","27NA"
"January 10, 2010","WEC 46: Varner vs. Henderson","ARCO Arena","Sacramento, California, USA","Wineland def. Roop","Unanimous","BERTRAND","30 - 27","HAMILTON","30 - 27","Unknown","27NA"
"January 10, 2010","WEC 46: Varner vs. Henderson","ARCO Arena","Sacramento, California, USA","Campuzano def. Wheeler","Unanimous","BERTRAND","30 - 27","ENGLISH","30 - 27","HAMILTON","30 - 26"
"January 02, 2010","UFC 108: Evans vs. Silva","MGM Grand Garden Arena","Las Vegas, Nevada, USA","Evans def. Silva","Unanimous","BYRD","29 - 28","SILBERT","29 - 28","WEEKS","29 - 28"
"January 02, 2010","UFC 108: Evans vs. Silva","MGM Grand Garden Arena","Las Vegas, Nevada, USA","Stout def. Lauzon","Unanimous","D'AMATO","30 - 27","PEOPLES","30 - 27","WEEKS","30 - 26"
"January 02, 2010","UFC 108: Evans vs. Silva","MGM Grand Garden Arena","Las Vegas, Nevada, USA","Oliveira def. Gunderson","Unanimous","PEOPLES","30 - 27","SILBERT","30 - 27","TROWBRIDGE","30 - 27"
"December 30, 2011","UFC 141: Lesnar vs Overeem","MGM Grand Garden Arena","Las Vegas, Nevada, USA","Diaz def. Cerrone","Unanimous","BYRD","30 - 27","KAMIJO","30 - 27","WEEKS","29 - 28"
"December 30, 2011","UFC 141: Lesnar vs Overeem","MGM Grand Garden Arena","Las Vegas, Nevada, USA","Hettes def. Phan","Unanimous","D'AMATO","30 - 25","KAMIJO","30 - 25","SMITH","30 - 26"
"December 30, 2011","UFC 141: Lesnar vs Overeem","MGM Grand Garden Arena","Las Vegas, Nevada, USA","Pearson def. Assunção","Unanimous","BYRD","29 - 28","KAMIJO","29 - 28","TROWBRIDGE","30 - 27"
"December 30, 2011","UFC 141: Lesnar vs Overeem","MGM Grand Garden Arena","Las Vegas, Nevada, USA","Castillo def. Njokuani","Split","CROSBY","29 - 28","MORSE JARMAN","28 - 29","SMITH","29 - 28"
"December 30, 2011","UFC 141: Lesnar vs Overeem","MGM Grand Garden Arena","Las Vegas, Nevada, USA","Kim def. Pierson","Unanimous","BYRD","30 - 27","D'AMATO","30 - 27","WEEKS","30 - 27"
"December 30, 2011","UFC 141: Lesnar vs Overeem","MGM Grand Garden Arena","Las Vegas, Nevada, USA","Volkmann def. Escudero","Unanimous","SMITH","29 - 28","TROWBRIDGE","29 - 28","WEEKS","29 - 28"
"December 30, 2011","UFC 141: Lesnar vs Overeem","MGM Grand Garden Arena","Las Vegas, Nevada, USA","Nunes def. Gamburyan","Unanimous","CROSBY","29 - 28","D'AMATO","29 - 28","KAMIJO","29 - 28"
"December 17, 2011","Strikeforce: Melendez vs. Masvidal","Valley View Casino Center","San Diego, California, USA","Melendez def. Masvidal","Unanimous","LEBELL","50 - 45","MCCARTHY","49 - 46","PEOPLES","50 - 45"
"December 17, 2011","Strikeforce: Melendez vs. Masvidal","Valley View Casino Center","San Diego, California, USA","Mousasi def. Saint Preux","Unanimous","GRIFFIN","29 - 28","LEBELL","29 - 28","MCCARTHY","29 - 28"
"December 17, 2011","Strikeforce: Melendez vs. Masvidal","Valley View Casino Center","San Diego, California, USA","Noons def. Evangelista","Unanimous","GRIFFIN","29 - 28","LEBELL","29 - 28","PEOPLES","29 - 28"
"December 17, 2011","Strikeforce: Melendez vs. Masvidal","Valley View Casino Center","San Diego, California, USA","Cole def. Salinas-Jones","Unanimous","GRIFFIN","30 - 27","LEBELL","30 - 27","PEOPLES","30 - 27"
"December 17, 2011","Strikeforce: Melendez vs. Masvidal","Valley View Casino Center","San Diego, California, USA","Mendez def. Gonzalez","Split","GRIFFIN","28 - 29","LEBELL","30 - 27","MCCARTHY","29 - 28"
"December 10, 2011","UFC 140: Jones vs. Machida","Air Canada Centre","Toronto, Ontario, Canada","Ebersole def. Patrick","Split","BERTRAND","29 - 28","D'AMATO","29 - 28","HAMILTON","28 - 29"
"December 10, 2011","UFC 140: Jones vs. Machida","Air Canada Centre","Toronto, Ontario, Canada","Jabouin def. Watson","Split","HAMILTON","30 - 27","JACKSON","28 - 29","THERIEN","29 - 28"
"December 10, 2011","UFC 140: Jones vs. Machida","Air Canada Centre","Toronto, Ontario, Canada","Bocek def. Lentz","Unanimous","HAMILTON","30 - 27","JACKSON","30 - 27","THERIEN","30 - 27"
"December 03, 2011","TUF 14 Finale: The Ultimate Fighter 14 Finale","Palms Casino Resort","Las Vegas, Nevada, USA","Ferguson def. Edwards","Unanimous","KAMIJO","29 - 28","SMITH","30 - 27","WEEKS","30 - 27"
"December 03, 2011","TUF 14 Finale: The Ultimate Fighter 14 Finale","Palms Casino Resort","Las Vegas, Nevada, USA","Brimage def. Bass","Unanimous","BYRD","30 - 27","KAMIJO","29 - 28","WEEKS","30 - 27"
"December 03, 2011","TUF 14 Finale: The Ultimate Fighter 14 Finale","Palms Casino Resort","Las Vegas, Nevada, USA","Siler def. Clopton","Unanimous","BYRD","29 - 28","COLLINS","29 - 28","WEEKS","29 - 28"
"November 26, 2011","Bellator 59: Bellator LIX","Caesars Atlantic City","Atlantic City, New Jersey, USA","Dantas def. Vila","Unanimous","AGUSTIN","29 - 28","ALMEIDA","29 - 28","TIRELLI","29 - 28"
"November 26, 2011","Bellator 59: Bellator LIX","Caesars Atlantic City","Atlantic City, New Jersey, USA","Held def. Nover","Split","AGUSTIN","29 - 28","BITTENCOURT","29 - 28","COLÓN","28 - 29"
"November 26, 2011","Bellator 59: Bellator LIX","Caesars Atlantic City","Atlantic City, New Jersey, USA","Maynard def. Wing","Unanimous","BITTENCOURT","30 - 27","BLATNICK","30 - 26","URSO","30 - 27"
"November 26, 2011","Bellator 59: Bellator LIX","Caesars Atlantic City","Atlantic City, New Jersey, USA","Milliard def. Saling","Unanimous","AGUSTIN","30 - 27","TIRELLI","30 - 27","URSO","30 - 27"
"November 19, 2011","Bellator 58: Bellator LVIII","Seminole Hard Rock Hotel and Casino","Hollywood, Florida, USA","Aguilar def. Ellis","Unanimous","LEE","30 - 27","LUXENBERG","30 - 27","RODRIGUEZ","30 - 27"
"November 19, 2011","Bellator 58: Bellator LVIII","Seminole Hard Rock Hotel and Casino","Hollywood, Florida, USA","Cooper def. Hess","Unanimous","GOMEZ","29 - 28","LUXENBERG","29 - 28","RODRIGUEZ","29 - 28"
"November 19, 2011","Bellator 58: Bellator LVIII","Seminole Hard Rock Hotel and Casino","Hollywood, Florida, USA","Araujo def. Barbosa","Unanimous","GOMEZ","29 - 28","LUXENBERG","29 - 28","RODRIGUEZ","29 - 28"
"November 19, 2011","Bellator 58: Bellator LVIII","Seminole Hard Rock Hotel and Casino","Hollywood, Florida, USA","Mello def. Sharipov","Unanimous","GOMEZ","30 - 27","LUXENBERG","30 - 27","RODRIGUEZ","30 - 27"
"November 19, 2011","UFC 139: Shogun vs. Henderson","HP Pavilion","San Jose, California, USA","Henderson def. Rua","Unanimous","MCKNIGHT","48 - 47","MORROW","48 - 47","THOMAS-GITLIN","48 - 47"
"November 19, 2011","UFC 139: Shogun vs. Henderson","HP Pavilion","San Jose, California, USA","Kampmann def. Story","Split","ENGLISH","30 - 27","MORROW","29 - 28","THOMAS-GITLIN","28 - 29"
"November 19, 2011","UFC 139: Shogun vs. Henderson","HP Pavilion","San Jose, California, USA","Bonnar def. Kingsbury","Unanimous","DENKIN","30 - 25","ENGLISH","30 - 27","MCKNIGHT","30 - 27"
"November 19, 2011","UFC 139: Shogun vs. Henderson","HP Pavilion","San Jose, California, USA","Tibau def. dos Anjos","Split","ENGLISH","28 - 29","MORROW","29 - 28","THOMAS-GITLIN","30 - 27"
"November 19, 2011","UFC 139: Shogun vs. Henderson","HP Pavilion","San Jose, California, USA","Torres def. Pace","Unanimous","DENKIN","30 - 27","ENGLISH","30 - 27","MCKNIGHT","30 - 27"
"November 18, 2011","ShoMMA 20: Britt vs. Sayers","Palms Casino Resort","Las Vegas, Nevada, USA","Brunson def. James","Unanimous","BYRD","30 - 27","MORSE JARMAN","30 - 27","TROWBRIDGE","30 - 27"
"November 18, 2011","ShoMMA 20: Britt vs. Sayers","Palms Casino Resort","Las Vegas, Nevada, USA","Ricehouse def. Cooper","Unanimous","KAMIJO","29 - 27","SMITH","30 - 26","WEEKS","30 - 26"
"November 18, 2011","ShoMMA 20: Britt vs. Sayers","Palms Casino Resort","Las Vegas, Nevada, USA","Mulhern def. Hulett","Unanimous","MORSE JARMAN","29 - 28","SMITH","29 - 28","WEEKS","29 - 28"
"November 12, 2011","Bellator 57: Bellator LVII","Casino Rama","Rama, Ontario, Canada","Shlemenko def. Vianna","Unanimous","JACKSON","30 - 27","RODGERS","30 - 27","THERIEN","29 - 28"
"November 12, 2011","Bellator 57: Bellator LVII","Casino Rama","Rama, Ontario, Canada","Hollett def. Hawk","Split","BETTES","29 - 28","JACKSON","29 - 28","RODGERS","28 - 29"
"November 12, 2011","Bellator 57: Bellator LVII","Casino Rama","Rama, Ontario, Canada","Horodecki drew with Corey","Majority","BETTES","29 - 28","JACKSON","28 - 28","RODGERS","28 - 28"
"November 12, 2011","Boxing: Pacquiao vs. Marquez 3","MGM Grand Garden Arena","Las Vegas, Nevada, USA","Pacquiao def. Márquez","Majority","HOYLE","114 - 114","MORETTI","115 - 113","TROWBRIDGE","116 - 112"
"November 12, 2011","UFC on Fox 1: Velasquez vs. Dos Santos","Honda Center","Anaheim, California, USA","Henderson def. Guida","Unanimous","GRIFFIN","30 - 27","HAMILTON","29 - 28","LEBELL","30 - 27"
"November 12, 2011","UFC on Fox 1: Velasquez vs. Dos Santos","Honda Center","Anaheim, California, USA","Uyenoyama def. Yamamoto","Unanimous","BELARDO","30 - 27","HAMILTON","30 - 27","LEBELL","30 - 26"
"November 12, 2011","UFC on Fox 1: Velasquez vs. Dos Santos","Honda Center","Anaheim, California, USA","Caceres def. Escovedo","Unanimous","BELARDO","30 - 27","COBIAN","30 - 27","LEBELL","30 - 27"
"November 12, 2011","UFC on Fox 1: Velasquez vs. Dos Santos","Honda Center","Anaheim, California, USA","Pierce def. Bradley","Split","COBIAN","29 - 28","GRIFFIN","28 - 29","HAMILTON","30 - 27"
"November 12, 2011","UFC on Fox 1: Velasquez vs. Dos Santos","Honda Center","Anaheim, California, USA","Rosa def. Lucas","Majority","BELARDO","30 - 26","COBIAN","30 - 26","LEBELL","28 - 28"
"November 05, 2011","UFC 138: Leben vs. Munoz","LG Arena","Birmingham, England","Maguire def. Edwards","Unanimous","COLLETT","30 - 27","URSO","30 - 27","WATTS","30 - 27"
"November 05, 2011","UFC 138: Leben vs. Munoz","LG Arena","Birmingham, England","De Fries def. Broughton","Unanimous","URSO","29 - 28","WATTS","29 - 28","WINTER","29 - 28"
"November 05, 2011","UFC 138: Leben vs. Munoz","LG Arena","Birmingham, England","Omigawa def. Young","Unanimous","COLLETT","29 - 28","HUGHES","29 - 28","ROBERTS","29 - 28"
"November 05, 2011","UFC 138: Leben vs. Munoz","LG Arena","Birmingham, England","Cariaso def. Lee","Split","COLLETT","29 - 28","WATTS","29 - 28","WINTER","28 - 29"
"October 29, 2011","Bellator 56: Bellator LVI","Memorial Hall","Kansas City, Kansas, USA","Askren def. Hieron","Unanimous","BOYD","48 - 47","CHAMPION","48 - 47","GUEARY","47 - 48"
"October 29, 2011","Bellator 56: Bellator LVI","Memorial Hall","Kansas City, Kansas, USA","Spoon def. Schindler","Unanimous","BOYD","29 - 28","CLIFTON","29 - 28","GUEARY","30 - 27"
"October 29, 2011","Bellator 56: Bellator LVI","Memorial Hall","Kansas City, Kansas, USA","Navarro def. Bears","Split","BOYD","29 - 28","CLIFTON","29 - 28","GUEARY","28 - 29"
"October 29, 2011","Bellator 56: Bellator LVI","Memorial Hall","Kansas City, Kansas, USA","Tiller def. Spohn","Split","BOYD","30 - 27","CHAMPION","28 - 29","GUEARY","29 - 28"
"October 29, 2011","Bellator 56: Bellator LVI","Memorial Hall","Kansas City, Kansas, USA","Brooks def. de Souza","Unanimous","BOYD","30 - 26","CHAMPION","30 - 26","GUEARY","29 - 27"
"October 29, 2011","UFC 137: Penn vs. Diaz","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Diaz def. Penn","Unanimous","BYRD","29 - 28","SILBERT","29 - 28","WEEKS","29 - 27"
"October 29, 2011","UFC 137: Penn vs. Diaz","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Kongo def. Mitrione","Unanimous","HAGEN","29 - 28","MORSE JARMAN","30 - 27","TROWBRIDGE","30 - 28"
"October 29, 2011","UFC 137: Penn vs. Diaz","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Jorgensen def. Curran","Unanimous","BYRD","29 - 28","SILBERT","29 - 28","TROWBRIDGE","30 - 27"
"October 29, 2011","UFC 137: Penn vs. Diaz","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Hioki def. Roop","Split","HAGEN","28 - 29","MORSE JARMAN","29 - 28","PEOPLES","29 - 28"
"October 29, 2011","UFC 137: Penn vs. Diaz","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Vera def. Marshall","Unanimous","HAGEN","29 - 28","KAMIJO","29 - 28","PEOPLES","29 - 28"
"October 29, 2011","UFC 137: Penn vs. Diaz","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Nijem def. Downes","Unanimous","BYRD","30 - 25","MORSE JARMAN","30 - 26","SMITH","30 - 27"
"October 29, 2011","UFC 137: Penn vs. Diaz","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Carmont def. Camozzi","Unanimous","PEOPLES","30 - 27","SILBERT","30 - 27","WEEKS","30 - 26"
"October 29, 2011","UFC 137: Penn vs. Diaz","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Starks def. Jacoby","Unanimous","KAMIJO","30 - 27","MORSE JARMAN","30 - 27","TROWBRIDGE","30 - 27"
"October 22, 2011","Bellator 55: Bellator LV","Cocopah Resort and Casino","Yuma, Arizona, USA","Vila def. Galvão","Split","COBIAN","29 - 28","ROGERS","27 - 30","URSO","29 - 28"
"October 22, 2011","Bellator 55: Bellator LV","Cocopah Resort and Casino","Yuma, Arizona, USA","Dantas def. West","Split","COBIAN","28 - 29","ROGERS","30 - 27","URSO","29 - 28"
"October 22, 2011","Bellator 55: Bellator LV","Cocopah Resort and Casino","Yuma, Arizona, USA","Wiuff def. M'Pumbu","Unanimous","COBIAN","29 - 28","ROGERS","30 - 27","URSO","29 - 28"
"October 22, 2011","Bellator 55: Bellator LV","Cocopah Resort and Casino","Yuma, Arizona, USA","Porter def. Piedmont","Unanimous","COBIAN","30 - 27","ROGERS","29 - 28","URSO","30 - 27"
"October 15, 2011","Bellator 54: Bellator LIV","Boardwalk Hall","Atlantic City, New Jersey, USA","Kirwan def. Nazare","Unanimous","DEPASQUALE JR.","30 - 27","SANIDAD","29 - 28","TAMBURRINO","30 - 27"
"October 15, 2011","Bellator 54: Bellator LIV","Boardwalk Hall","Atlantic City, New Jersey, USA","Ledesma def. Kelleher","Unanimous","DEPASQUALE JR.","30 - 27","TAMBURRINO","30 - 27","TIRELLI","30 - 27"
"October 15, 2011","Bellator 54: Bellator LIV","Boardwalk Hall","Atlantic City, New Jersey, USA","Wawro def. Seiber","Unanimous","DEPASQUALE JR.","29 - 28","SANIDAD","29 - 28","TIRELLI","29 - 28"
"October 08, 2011","Bellator 53: Bellator LIII","Buffalo Run Hotel & Casino","Miami, Oklahoma, USA","Matthews def. Bears","Unanimous","LAMBERT","29 - 28","RITTER","29 - 28","SUTHERLAND","29 - 28"
"October 08, 2011","UFC 136: Edgar vs. Maynard III","Toyota Center","Houston, Texas, USA","Aldo def. Florian","Unanimous","CROSBY","49 - 46","HAMILTON","49 - 46","PEOPLES","49 - 46"
"October 08, 2011","UFC 136: Edgar vs. Maynard III","Toyota Center","Houston, Texas, USA","Phan def. Garcia","Unanimous","DEALEJANDRO","29 - 28","MATHISEN","29 - 28","PHILLIPS","29 - 28"
"October 08, 2011","UFC 136: Edgar vs. Maynard III","Toyota Center","Houston, Texas, USA","Maia def. Santiago","Unanimous","HAMILTON","30 - 27","MATHISEN","30 - 27","PHILLIPS","30 - 27"
"October 08, 2011","UFC 136: Edgar vs. Maynard III","Toyota Center","Houston, Texas, USA","Pettis def. Stephens","Split","CROSBY","29 - 28","DEALEJANDRO","29 - 28","PHILLIPS","28 - 29"
"October 08, 2011","UFC 136: Edgar vs. Maynard III","Toyota Center","Houston, Texas, USA","Miocic def. Beltran","Unanimous","DEALEJANDRO","30 - 27","MATHISEN","29 - 28","PHILLIPS","29 - 28"
"October 08, 2011","UFC 136: Edgar vs. Maynard III","Toyota Center","Houston, Texas, USA","Elkins def. Zhang","Unanimous","DEALEJANDRO","30 - 27","MATHISEN","30 - 26","PHILLIPS","30 - 27"
"October 08, 2011","UFC 136: Edgar vs. Maynard III","Toyota Center","Houston, Texas, USA","Simpson def. Schafer","Unanimous","LASSITER","30 - 27","MATHISEN","30 - 27","PHILLIPS","30 - 27"
"October 08, 2011","UFC 136: Edgar vs. Maynard III","Toyota Center","Houston, Texas, USA","Massenzio def. Cantwell","Unanimous","DEALEJANDRO","29 - 28","LASSITER","29 - 28","PHILLIPS","30 - 27"
"October 01, 2011","Bellator 52: Bellator LII","L'Auberge du Lac Resort","Lake Charles, Louisiana, USA","Hayes def. Grove","Split","ANCONA","28 - 29","BARAHONA","29 - 28","BASS","29 - 28"
"October 01, 2011","Bellator 52: Bellator LII","L'Auberge du Lac Resort","Lake Charles, Louisiana, USA","Prindle def. Wagner","Unanimous","ANCONA","29 - 28","BARAHONA","29 - 28","BASS","29 - 28"
"October 01, 2011","Bellator 52: Bellator LII","L'Auberge du Lac Resort","Lake Charles, Louisiana, USA","Quayhagen def. Alexandre","Unanimous","ANCONA","30 - 27","BASS","30 - 27","MANUEL","30 - 27"
"October 01, 2011","UFC Live: Cruz vs. Johnson","Verizon Center","Washington, District of Columbia, USA","Cruz def. Johnson","Unanimous","BERTRAND","50 - 45","BLATNICK","50 - 45","URSO","49 - 46"
"October 01, 2011","UFC Live: Cruz vs. Johnson","Verizon Center","Washington, District of Columbia, USA","Wiman def. Danzig","Unanimous","BERTRAND","29 - 28","BLATNICK","29 - 28","Unknown","28NA"
"September 24, 2011","Bellator 51: Bellator LI","Canton Memorial Civic Center","Canton, Ohio, USA","Galvão def. Beebe","Split","AUSTIN","29 - 28","BARRY","28 - 29","BELTZ","29 - 28"
"September 24, 2011","Bellator 51: Bellator LI","Canton Memorial Civic Center","Canton, Ohio, USA","West def. Nogueira","Unanimous","AUSTIN","29 - 28","BARRY","29 - 28","BELTZ","30 - 27"
"September 24, 2011","Bellator 51: Bellator LI","Canton Memorial Civic Center","Canton, Ohio, USA","Eye def. Noland","Split","AUSTIN","29 - 28","BARRY","29 - 28","BELTZ","28 - 29"
"September 24, 2011","Bellator 51: Bellator LI","Canton Memorial Civic Center","Canton, Ohio, USA","Riggleman def. Sharipov","Split","AUSTIN","29 - 28","BARRY","28 - 29","BELTZ","30 - 27"
"September 24, 2011","UFC 135: Jones vs. Rampage","Pepsi Center","Denver, Colorado, USA","Hunt def. Rothwell","Unanimous","HAMILTON","29 - 28","PEOPLES","29 - 27","VAN TINE","30 - 27"
"September 24, 2011","UFC 135: Jones vs. Rampage","Pepsi Center","Denver, Colorado, USA","Browne def. Broughton","Unanimous","PEOPLES","30 - 27","VAN TINE","30 - 27","WEEKS","30 - 27"
"September 24, 2011","UFC 135: Jones vs. Rampage","Pepsi Center","Denver, Colorado, USA","Boetsch def. Ring","Unanimous","PEOPLES","30 - 27","THRASHER","29 - 28","VAN TINE","29 - 28"
"September 24, 2011","UFC 135: Jones vs. Rampage","Pepsi Center","Denver, Colorado, USA","Assunção def. Yagin","Unanimous","PEOPLES","30 - 26","THRASHER","30 - 26","WEEKS","30 - 27"
"September 23, 2011","ShoMMA 19: Larkin vs. Rossborough","Palms Casino Resort","Las Vegas, Nevada, USA","Larkin def. Rossborough","Unanimous","BYRD","30 - 27","KAMIJO","29 - 28","TROWBRIDGE","30 - 27"
"September 23, 2011","ShoMMA 19: Larkin vs. Rossborough","Palms Casino Resort","Las Vegas, Nevada, USA","Couture def. Watson","Majority","BYRD","28 - 28","MORSE JARMAN","29 - 28","TROWBRIDGE","29 - 28"
"September 23, 2011","ShoMMA 19: Larkin vs. Rossborough","Palms Casino Resort","Las Vegas, Nevada, USA","High def. Moore","Unanimous","KAMIJO","30 - 27","SMITH","30 - 27","WEEKS","30 - 27"
"September 23, 2011","ShoMMA 19: Larkin vs. Rossborough","Palms Casino Resort","Las Vegas, Nevada, USA","Melancon def. Portela","Unanimous","BYRD","29 - 28","SMITH","30 - 27","WEEKS","29 - 28"
"September 23, 2011","ShoMMA 19: Larkin vs. Rossborough","Palms Casino Resort","Las Vegas, Nevada, USA","Spang def. Ray","Unanimous","MORSE JARMAN","29 - 28","SMITH","29 - 28","WEEKS","29 - 28"
"September 17, 2011","Bellator 50: Bellator L","Seminole Hard Rock Hotel & Casino","Hollywood, Florida, USA","Vianna def. Alvey","Split","GOMEZ","29 - 28","GREEN","29 - 28","RUPERT","28 - 29"
"September 17, 2011","Bellator 50: Bellator L","Seminole Hard Rock Hotel & Casino","Hollywood, Florida, USA","Martinez def. van Hoven","Unanimous","GOMEZ","30 - 27","LUXENBERG","30 - 27","RUPERT","30 - 27"
"September 17, 2011","Bellator 50: Bellator L","Seminole Hard Rock Hotel & Casino","Hollywood, Florida, USA","Souza def. Kelly","Unanimous","GOMEZ","29 - 28","LUXENBERG","29 - 28","RUPERT","29 - 28"
"September 17, 2011","Bellator 50: Bellator L","Seminole Hard Rock Hotel & Casino","Hollywood, Florida, USA","Reese def. Brown","Unanimous","GOMEZ","30 - 27","GREEN","30 - 27","LUXENBERG","30 - 27"
"September 17, 2011","UFN 25: Shields vs. Ellenberger","Ernest N. Morial Convention Center","New Orleans, Louisiana, USA","McGee def. Yang","Unanimous","BLATNICK","30 - 28","D'AMATO","29 - 28","LEE","30 - 27"
"September 17, 2011","UFN 25: Shields vs. Ellenberger","Ernest N. Morial Convention Center","New Orleans, Louisiana, USA","Koch def. Brookins","Unanimous","BERTRAND","30 - 27","CROSBY","29 - 28","SCHEUERMANN","30 - 27"
"September 17, 2011","UFN 25: Shields vs. Ellenberger","Ernest N. Morial Convention Center","New Orleans, Louisiana, USA","Dunham def. Bailey","Unanimous","BARAHONA","30 - 27","CROSBY","30 - 27","LEE","30 - 27"
"September 17, 2011","UFN 25: Shields vs. Ellenberger","Ernest N. Morial Convention Center","New Orleans, Louisiana, USA","Benoist def. Riddle","Unanimous","BERTRAND","29 - 28","BLATNICK","29 - 28","D'AMATO","29 - 28"
"September 17, 2011","UFN 25: Shields vs. Ellenberger","Ernest N. Morial Convention Center","New Orleans, Louisiana, USA","Peralta def. Lullo","Unanimous","BERTRAND","29 - 28","LEE","30 - 27","SCHEUERMANN","30 - 27"
"September 17, 2011","UFN 25: Shields vs. Ellenberger","Ernest N. Morial Convention Center","New Orleans, Louisiana, USA","Edwards def. Lopez","Unanimous","BARAHONA","29 - 28","BLATNICK","29 - 28","D'AMATO","29 - 28"
"September 10, 2011","Strikeforce: Barnett vs. Kharitonov","U.S. Bank Arena","Cincinnati, Ohio, USA","Rockhold def. Souza","Unanimous","D'AMATO","48 - 47","LEE","48 - 47","SNELL","50 - 45"
"September 10, 2011","Strikeforce: Barnett vs. Kharitonov","U.S. Bank Arena","Cincinnati, Ohio, USA","Kyle def. de Lima","Unanimous","LEE","29 - 28","SNELL","29 - 28","TORRIERO","30 - 27"
"September 10, 2011","Strikeforce: Barnett vs. Kharitonov","U.S. Bank Arena","Cincinnati, Ohio, USA","Steele def. Mierzwiak","Unanimous","CRAWFORD","29 - 28","D'AMATO","29 - 27","LEE","29 - 27"
"September 10, 2011","Bellator 49: Bellator XLIX","Caesars Atlantic City","Atlantic City, New Jersey, USA","Lozano def. Weedman","Unanimous","ALMEIDA","29 - 28","BITTENCOURT","29 - 28","URSO","29 - 28"
"September 10, 2011","Bellator 49: Bellator XLIX","Caesars Atlantic City","Atlantic City, New Jersey, USA","Santos def. Hornbuckle","Unanimous","ALMEIDA","30 - 27","BITTENCOURT","30 - 27","BLATNICK","30 - 27"
"September 10, 2011","Bellator 49: Bellator XLIX","Caesars Atlantic City","Atlantic City, New Jersey, USA","Lima def. Carl","Unanimous","ALMEIDA","29 - 28","BLATNICK","30 - 27","URSO","30 - 27"
"August 27, 2011","UFC 134: Silva vs. Okami","HSBC Arena","Rio de Janeiro, Brazil","Barboza def. Pearson","Split","LEE","29 - 28","ROBERTS","29 - 28","SUTHERLAND","28 - 29"
"August 27, 2011","UFC 134: Silva vs. Okami","HSBC Arena","Rio de Janeiro, Brazil","Palhares def. Miller","Unanimous","CROSBY","30 - 25","LEE","30 - 27","ROBERTS","29 - 27"
"August 27, 2011","UFC 134: Silva vs. Okami","HSBC Arena","Rio de Janeiro, Brazil","Thiago def. Mitchell","Unanimous","D'AMATO","30 - 27","ROBERTS","30 - 27","SUTHERLAND","30 - 27"
"August 27, 2011","UFC 134: Silva vs. Okami","HSBC Arena","Rio de Janeiro, Brazil","Assuncao def. Eduardo","Unanimous","CROSBY","30 - 27","LEE","30 - 27","SUTHERLAND","30 - 27"
"August 27, 2011","UFC 134: Silva vs. Okami","HSBC Arena","Rio de Janeiro, Brazil","Alcântara def. Arantes","Unanimous","D'AMATO","30 - 27","LEE","29 - 28","SUTHERLAND","30 - 27"
"August 27, 2011","UFC 134: Silva vs. Okami","HSBC Arena","Rio de Janeiro, Brazil","Jabouin def. Loveland","Split","CROSBY","29 - 28","LEE","29 - 28","ROBERTS","27 - 30"
"August 20, 2011","Bellator 48: Bellator XLVIII","Mohegan Sun Arena","Uncasville, Connecticut, USA","Konrad def. Buentello","Unanimous","AVERY","30 - 27","BILYK","30 - 27","URSO","29 - 28"
