player,year,greens,holes,cut
Keith Mitchell,2019,219,410,Other
Keith Mitchell,2019,561,701,Fairway
Keith Mitchell,2019,21,50,Bunker
Kelly Kraft,2019,169,371,Other
Kelly Kraft,2019,501,696,Fairway
Kelly Kraft,2019,27,62,Bunker
Kevin Kisner,2019,156,316,Other
Kevin Kisner,2019,635,832,Fairway
Kevin Kisner,2019,29,51,Bunker
Kevin Na,2019,128,271,Other
Kevin Na,2019,407,538,Fairway
Kevin Na,2019,10,31,Bunker
Kevin Streelman,2019,182,316,Other
Kevin Streelman,2019,603,769,Fairway
Kevin Streelman,2019,20,46,Bunker
Kevin Tway,2019,246,444,Other
Kevin Tway,2019,492,620,Fairway
Kevin Tway,2019,18,58,Bunker
Kiradech Aphibarnrat,2019,136,288,Other
Kiradech Aphibarnrat,2019,390,549,Fairway
Kiradech Aphibarnrat,2019,14,31,Bunker
Kramer Hickok,2019,158,293,Other
Kramer Hickok,2019,571,743,Fairway
Kramer Hickok,2019,11,37,Bunker
Kyle Jones,2019,132,251,Other
Kyle Jones,2019,476,632,Fairway
Kyle Jones,2019,14,38,Bunker
Kyle Stanley,2019,130,287,Other
Kyle Stanley,2019,583,735,Fairway
Kyle Stanley,2019,23,42,Bunker
Louis Oosthuizen,2019,127,254,Other
Louis Oosthuizen,2019,463,597,Fairway
Louis Oosthuizen,2019,20,41,Bunker
Lucas Glover,2019,201,362,Other
Lucas Glover,2019,640,830,Fairway
Lucas Glover,2019,29,63,Bunker
Luke List,2019,206,360,Other
Luke List,2019,355,468,Fairway
Luke List,2019,25,54,Bunker
Mackenzie Hughes,2019,213,379,Other
Mackenzie Hughes,2019,469,614,Fairway
Mackenzie Hughes,2019,22,66,Bunker
Marc Leishman,2019,193,373,Other
Marc Leishman,2019,473,601,Fairway
Marc Leishman,2019,17,38,Bunker
Martin Laird,2019,203,362,Other
Martin Laird,2019,574,706,Fairway
Martin Laird,2019,20,51,Bunker
Martin Trainer,2019,173,372,Other
Martin Trainer,2019,333,432,Fairway
Martin Trainer,2019,25,47,Bunker
Matt Fitzpatrick,2019,103,216,Other
Matt Fitzpatrick,2019,347,471,Fairway
Matt Fitzpatrick,2019,13,26,Bunker
Matt Jones,2019,195,368,Other
Matt Jones,2019,583,728,Fairway
Matt Jones,2019,35,75,Bunker
Matt Kuchar,2019,160,319,Other
Matt Kuchar,2019,605,757,Fairway
Matt Kuchar,2019,25,47,Bunker
Max Homa,2019,209,406,Other
Max Homa,2019,488,642,Fairway
Max Homa,2019,26,69,Bunker
Michael Kim,2019,152,346,Other
